Fiscal year/period,Month,Year,Profit_Center_masked,Posting_Week,Week_Year,Posting_Date,Ship-To Company,Ship from Location_masked,SKU,Brand (PH)_masked,Sales
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT188,B19,143
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT189,B6,36
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT190,B16,384
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT192,B19,576
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT193,B19,256
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT198,B6,177
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT199,B19,8
1.2015,1,2015,PC1,2,2015,09.01.2015,STP1,LOC3,KIT200,B16,396
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT64,B19,4
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT188,B19,211
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT189,B6,38
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT190,B16,72
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT192,B19,192
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT193,B19,193
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT198,B6,51
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT199,B19,44
1.2015,1,2015,PC1,2,2015,09.01.2015,STP2,LOC4,KIT200,B16,216
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT188,B19,235
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT189,B6,108
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT190,B16,240
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT192,B19,96
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT193,B19,479
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT198,B6,196
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT199,B19,80
1.2015,1,2015,PC1,2,2015,09.01.2015,STP3,LOC2,KIT200,B16,576
1.2015,1,2015,PC1,2,2015,09.01.2015,STP4,LOC5,KIT189,B6,18
1.2015,1,2015,PC1,2,2015,09.01.2015,STP4,LOC5,KIT190,B16,168
1.2015,1,2015,PC1,2,2015,09.01.2015,STP4,LOC5,KIT193,B19,71
1.2015,1,2015,PC1,2,2015,09.01.2015,STP4,LOC5,KIT198,B6,144
1.2015,1,2015,PC1,2,2015,09.01.2015,STP4,LOC5,KIT200,B16,108
1.2015,1,2015,PC1,3,2015,12.01.2015,STP4,LOC5,KIT263,B22,648
1.2015,1,2015,PC1,3,2015,13.01.2015,STP2,LOC4,KIT260,B22,144
1.2015,1,2015,PC1,3,2015,13.01.2015,STP2,LOC4,KIT263,B22,252
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT25,B22,20
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT26,B22,46
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT39,B19,24
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT69,B15,5
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT188,B19,181
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT198,B6,51
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT263,B22,309
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT561,B15,202
1.2015,1,2015,PC1,3,2015,13.01.2015,STP3,LOC2,KIT570,B15,90
1.2015,1,2015,PC1,3,2015,13.01.2015,STP4,LOC5,KIT260,B22,864
1.2015,1,2015,PC1,3,2015,14.01.2015,STP2,LOC4,KIT45,B19,12
1.2015,1,2015,PC1,3,2015,14.01.2015,STP2,LOC4,KIT47,B6,4
1.2015,1,2015,PC1,3,2015,14.01.2015,STP3,LOC2,KIT45,B19,90
1.2015,1,2015,PC1,3,2015,14.01.2015,STP3,LOC2,KIT47,B6,242
1.2015,1,2015,PC1,3,2015,15.01.2015,STP1,LOC3,KIT260,B22,288
1.2015,1,2015,PC1,3,2015,15.01.2015,STP1,LOC3,KIT263,B22,265
1.2015,1,2015,PC1,3,2015,15.01.2015,STP1,LOC3,KIT568,B15,144
1.2015,1,2015,PC1,3,2015,15.01.2015,STP1,LOC3,KIT570,B15,90
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT20,B15,48
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT45,B19,22
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT47,B6,6
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT68,B6,36
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT187,B6,1296
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT188,B19,222
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT191,B6,108
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT192,B19,288
1.2015,1,2015,PC1,3,2015,16.01.2015,STP1,LOC3,KIT196,B19,108
